quadkey,latitude,longitude,rwi,error
13203223323003,22.0754590,103.5681152,-0.537,0.489
13221320101210,13.8274120,107.8088379,0.152,0.395
13221011113122,21.7084727,106.7980957,-0.102,0.378
13221300333023,15.3795428,108.1384277,0.142,0.366
13221010000210,21.8513017,104.1174316,-0.751,0.361
13223011210010,10.4770087,105.8752441,-0.031,0.417
13223012111002,9.7631974,105.3039551,0.402,0.397
13223011030323,10.6714043,105.9411621,-0.353,0.423
13221010331302,20.8485448,105.3918457,0.532,0.405
13221010200220,21.1562380,104.0734863,-0.511,0.401
13221322122000,12.0285754,107.5891113,-0.186,0.396
13221323302131,11.6414761,109.1491699,-0.671,0.363
13223010333123,9.8930985,105.4138184,-0.037,0.403
13221322233201,11.2538371,107.4353027,0.553,0.408
13221322202313,11.5769066,107.0397949,-0.538,0.399
13203233132333,22.6038685,106.6882324,0.052,0.369
13221321001010,13.9127399,108.5119629,-0.380,0.347
13221011321013,20.9306583,106.4245605,1.080,0.385
13221030101331,19.1763010,105.1062012,-0.158,0.330
13223011212000,10.3041101,105.8312988,0.239,0.413
13221011232122,20.7252905,105.9191895,0.918,0.412
13221011331310,20.8690774,106.8420410,0.529,0.420
13221303002332,14.9553991,108.4240723,-0.540,0.383
13221100221101,20.9511796,107.1716309,0.513,0.441
13223012310303,8.9827489,105.2380371,0.156,0.413
13221303302010,14.4240402,109.0393066,0.484,0.415
13221322201110,11.8565990,107.1936035,0.015,0.405
13223011211310,10.3905714,106.1389160,0.602,0.402
13223011330230,10.0013102,106.5783691,0.110,0.420
13221011100310,21.8513017,106.3146973,0.231,0.395
13221303300210,14.5091441,109.0393066,0.847,0.401
13221323220212,11.4046486,108.3361816,-0.742,0.390
13223011030122,10.7577626,105.9191895,-0.042,0.404
13221011320020,20.9101341,106.1828613,0.057,0.434
13221013031030,20.2518900,106.0510254,0.349,0.440
13221233231113,11.4907908,106.1608887,0.428,0.399
13203232023122,22.6849838,104.3371582,-0.194,0.379
13223011232200,9.8714518,105.8312988,0.264,0.419
13221010101311,21.8513017,105.1062012,-0.068,0.414
13223011030220,10.6929962,105.8312988,-0.062,0.398
13221010103301,21.6880569,105.0622559,0.673,0.397
13221012131300,20.2106559,105.3918457,-0.012,0.402
13223010330013,10.1094859,105.1940918,0.255,0.411
13221321221101,12.8867796,108.5778809,-0.388,0.384
13221011002000,21.7697025,105.4797363,-0.123,0.403
13221302122223,14.6154780,107.6110840,-0.536,0.368
13223011110022,11.1029466,106.5344238,0.902,0.441
13221013203210,19.7149999,105.6994629,0.894,0.407
13203233312201,22.3399141,106.5563965,-0.309,0.359
13221011301003,21.2586610,106.3806152,0.650,0.419
13203232022210,22.6647094,104.1174316,-0.492,0.384
13221323101231,12.4151184,109.2370605,0.175,0.429
13221031002131,19.0932663,105.6335449,0.280,0.414
13223010312121,10.2608706,105.2380371,-0.041,0.403
13221322130200,12.1145226,107.9406738,0.019,0.421
13221303221331,14.1259215,108.6218262,-0.238,0.476
13221322233332,11.1891794,107.5451660,0.914,0.412
13221303232200,13.9980363,108.6437988,1.089,0.428
13221321100303,13.8060751,109.1052246,0.990,0.424
13221011323133,20.7252905,106.5124512,0.433,0.419
13223010303132,10.2392486,105.0842285,-0.480,0.413
13221011133013,21.4223895,106.7761230,-0.086,0.372
13221011221220,20.8280094,105.6555176,0.244,0.418
13221013102133,20.3961229,106.3366699,0.629,0.377
13221321222022,12.6510579,108.2922363,-0.667,0.406
13221302311302,14.4878712,108.2043457,-0.024,0.374
13221321103033,13.6780130,109.2370605,1.010,0.410
13223011132310,10.5634219,106.6662598,0.179,0.416
13221010102213,21.6676382,104.8425293,-0.044,0.417
13221010333230,20.6636257,105.3479004,0.092,0.390
13223012311220,8.9610451,105.3039551,0.434,0.411
13221233211211,11.7705700,106.0729980,0.493,0.453
13221013002131,20.4167166,105.6335449,-0.059,0.366
13221322213300,11.5984314,107.5012207,0.355,0.405
13203223123033,22.6849838,103.6120605,-0.167,0.365
13223011221022,10.0662199,105.6555176,0.244,0.413
13221320112122,13.6780130,108.0285645,0.475,0.412
13203223210300,22.5024071,103.1066895,-0.202,0.368
13221321230001,12.8867796,108.6657715,-0.379,0.390
13223010230310,10.0445848,104.5568848,0.810,0.415
13221302122321,14.6367386,107.6989746,-0.598,0.399
13221011121202,21.5041851,106.3586426,0.774,0.420
13221012113320,20.3343253,105.3918457,-0.125,0.402
13221301232012,15.4219101,108.6877441,0.382,0.388
13223100021003,10.8009324,107.0837402,0.378,0.413
13221011030230,21.4837405,105.8752441,1.279,0.412
13203232202030,22.3805551,104.1174316,0.095,0.470
13221320323213,12.6081759,107.8308105,0.221,0.398
13221320131111,13.5712413,108.2702637,-0.999,0.386
13223012132203,9.1563324,105.1501465,1.123,0.453
13221011312223,20.9716982,106.5563965,1.183,0.441
13223011303222,10.1527460,106.3586426,0.300,0.416
13221011301200,21.1972157,106.3586426,0.324,0.404
13223011323220,9.8281543,106.3586426,0.028,0.400
13221013003321,20.3343253,105.7653809,0.098,0.404
13223001313000,10.3041101,103.8977051,-0.208,0.394
13221320313200,12.9724418,108.1164551,0.047,0.389
13223011132110,10.6498109,106.6662598,1.348,0.428
13221323022121,11.9855916,108.4020996,0.847,0.423
13203232333332,21.9532352,105.4357910,-0.016,0.385
13223012111133,9.7198857,105.4577637,0.631,0.419
13203233121132,22.8470703,106.4904785,-0.211,0.366
13221011122112,21.4223895,106.3146973,0.055,0.381
13221322311023,11.7920798,108.1384277,0.546,0.394
13223011310010,10.4770087,106.5783691,0.194,0.428
13221012320010,19.6322399,104.8205566,-0.256,0.374
13221303212002,14.4027591,108.6437988,-0.874,0.317
13223100100230,11.0382553,107.6330566,-0.200,0.402
13221011232301,20.7047384,105.9411621,0.586,0.430
13221302322231,13.9553920,107.6550293,-0.403,0.374
13221013032300,20.0456105,105.9191895,0.697,0.400
13223011123021,10.6066195,106.3806152,0.084,0.412
13203223300022,22.5227053,103.3703613,0.667,0.423
13221322031113,12.1789647,107.5671387,-0.197,0.402
13221100202232,20.9716982,106.9299316,0.966,0.435
13221302321132,14.1898373,107.8967285,-0.237,0.424
13221031022232,18.6566542,105.5236816,0.501,0.418
13221302113113,15.0827314,108.2702637,-0.408,0.368
13223011112320,10.8656756,106.6223145,1.339,0.525
13223010301203,10.3689583,104.9743652,0.168,0.417
13221322131201,12.1145226,108.1384277,-0.151,0.383
13221322113011,12.3721972,108.1823730,-0.367,0.377
13221011000022,21.8716943,105.4797363,-0.301,0.367
13223011123131,10.6066195,106.5124512,0.565,0.426
13221013121031,20.2518900,106.4245605,0.589,0.404
13221011021132,21.5450657,105.7873535,0.491,0.403
13223011332320,9.8281543,106.6223145,-0.020,0.417
13203232200021,22.5430006,104.0954590,-0.519,0.396
13221013023331,20.0043220,105.8093262,-0.342,0.392
13221323000032,12.4794869,108.3361816,-0.274,0.401
13221303020122,14.8704688,108.3801270,-0.213,0.485
